,ID,Title,Year,Star1,Star2,Star3,Star4,Star5
121,0042876,Rashomon,1950,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,Minoru Chiaki
122,0055630,Yojimbo,1961,Toshirô Mifune,Tatsuya Nakadai,Yôko Tsukasa,Isuzu Yamada,Daisuke Katô
123,0372784,Batman Begins,2005,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman
124,0095016,Die Hard,1988,Bruce Willis,Bonnie Bedelia,Reginald VelJohnson,Paul Gleason,William Atherton
125,6966692,Green Book,2018,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,Jaimz Woolvett
126,0105695,Unforgiven,1992,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,Dimiter D. Marinov
127,0363163,Downfall,2004,Bruno Ganz,Alexandra Maria Lara,Corinna Harfouch,Ulrich Matthes,Juliane Köhler
128,0118849,Children of Heaven,1997,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi,Fereshte Sarabandi
129,0053291,Some Like It Hot,1959,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,Pat O'Brien
130,0347149,Howl's Moving Castle,2004,Chieko Baishô,Takuya Kimura,Akihiro Miwa,Tatsuya Gashûin,Ryûnosuke Kamiki
131,0057115,The Great Escape,1963,Steve McQueen,James Garner,Richard Attenborough,James Donald,Charles Bronson
132,0096283,My Neighbor Totoro,1988,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,Sumi Shimamoto,Tanie Kitabayashi
133,0089881,Ran,1985,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,Mieko Harada
134,0042192,All About Eve,1950,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,Gary Merrill
135,0268978,A Beautiful Mind,2001,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,Paul Bettany
136,0457430,Pan's Labyrinth,2006,Ivana Baquero,Sergi López,Maribel Verdú,Doug Jones,Ariadna Gil
137,0091251,Come and See,1985,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles
138,0112641,Casino,1995,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,Vladas Bagdonas,Jüri Lumiste
139,1305806,The Secret in Their Eyes,2009,Soledad Villamil,Ricardo Darín,Carla Quevedo,Pablo Rago,Javier Godino
140,0120735,"Lock, Stock and Two Smoking Barrels",1998,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Steven Mackintosh
141,0081398,Raging Bull,1980,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,Nicholas Colasanto
142,0476735,My Father and My Son,2005,Çetin Tekindor,Fikret Kuskan,Hümeyra,Ege Tanman,Serif Sezer
143,0040897,The Treasure of the Sierra Madre,1948,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,Barton MacLane
144,0993846,The Wolf of Wall Street,2013,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,Kyle Chandler
145,0055031,Judgment at Nuremberg,1961,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,Maximilian Schell
146,5027774,"Three Billboards Outside Ebbing, Missouri",2017,Frances McDormand,Caleb Landry Jones,Kerry Condon,Sam Rockwell,Alejandro Barrios
147,0071315,Chinatown,1974,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,John Hillerman
